Pessoa_ID,Tempo de Casa Categoria Python
998,1. Menos de 6 meses
999,4. 2 Anos
1000,3. 1 Ano
1001,4. 2 Anos
1002,4. 2 Anos
1003,3. 1 Ano
1004,2. Mais de 6 meses
1005,2. Mais de 6 meses
1006,5. 3 Anos
1007,4. 2 Anos
1008,4. 2 Anos
1009,5. 3 Anos
1010,5. 3 Anos
1011,3. 1 Ano
1012,4. 2 Anos
1013,4. 2 Anos
1014,4. 2 Anos
1015,4. 2 Anos
1016,3. 1 Ano
1017,5. 3 Anos
1018,3. 1 Ano
1019,4. 2 Anos
1020,4. 2 Anos
1021,4. 2 Anos
1022,4. 2 Anos
